marker_time, drop_time, denom, total_amount, pre_balance, impact_pct
2022-05-01T00:00:00Z,2022-05-08T00:00:00Z,ustc,1006733194.000000,1052695195.405789,95.633874
2022-10-30T00:00:00Z,2022-11-06T00:00:00Z,ustc,1600000.000000,1621966.151605,98.645708
2022-12-11T00:00:00Z,2022-12-18T00:00:00Z,lunc,937500000.000000,2069535465.862749,45.300021
2023-01-01T00:00:00Z,2023-01-08T00:00:00Z,lunc,908000000.000000,1875724965.181429,48.407950
2023-03-26T00:00:00Z,2023-04-02T00:00:00Z,lunc,1282304596.000000,1617911645.125150,79.256775
2023-07-02T00:00:00Z,2023-07-09T00:00:00Z,lunc,1970259705.000000,458913375.377277,429.331506
2023-08-27T00:00:00Z,2023-09-03T00:00:00Z,lunc,318217979.000000,1514472489.810118,21.011803
2024-01-28T00:00:00Z,2024-02-04T00:00:00Z,lunc,160000000.000000,4079834835.403737,3.921727
2024-06-09T00:00:00Z,2024-06-16T00:00:00Z,lunc,256410256.000000,5255128695.691155,4.879238
2024-08-04T00:00:00Z,2024-08-11T00:00:00Z,lunc,50998725.000000,6608537684.226762,0.771710
2024-12-22T00:00:00Z,2024-12-29T00:00:00Z,lunc,23864258.000000,8172454135.911765,0.292008
2024-12-29T00:00:00Z,2025-01-05T00:00:00Z,lunc,48356000.000000,8179802605.314270,0.591163
2025-02-16T00:00:00Z,2025-02-23T00:00:00Z,lunc,204603580.000000,8913029329.256769,2.295556
2025-02-23T00:00:00Z,2025-03-02T00:00:00Z,lunc,32669062.000000,8759949494.058187,0.372937
2025-03-23T00:00:00Z,2025-03-30T00:00:00Z,lunc,24298425.000000,8969848094.199123,0.270890
2025-05-18T00:00:00Z,2025-05-25T00:00:00Z,lunc,1467566048.002745,9205440596.918365,15.942377
2025-06-01T00:00:00Z,2025-06-08T00:00:00Z,lunc,792267469.497702,7000163829.211236,11.317842
2025-06-15T00:00:00Z,2025-06-22T00:00:00Z,lunc,133000000.000000,7071697859.780434,1.880736
2025-09-28T00:00:00Z,2025-10-05T00:00:00Z,lunc,500000000.000000,7939644161.885580,6.297511
2025-11-02T00:00:00Z,2025-11-09T00:00:00Z,lunc,254582484.725050,7693696077.706350,3.308975
2026-01-25T00:00:00Z,2026-02-01T00:00:00Z,lunc,1045997684.000000,8487235971.954781,12.324362

spend rows read: 25
weekly buckets: 21
