page,title,recipient,uluna_micro,uluna,ustc_micro,ustc,other_denoms_micro,voting_end_date
1,Burn The Remaining UST in the Community Pool + Cross-Chain Liquidity Incentive UST 2,terra1sk06e3dyexuq4shw77y3dsv480xv42mq73anxu,0,0.0,1006733194000000,1006733194.0,,2022-05-02
2,Promote Chain Utility via the Establishment of the Terra Grants Program,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f,0,0.0,1600000000000,1600000.0,,2022-11-04
3,Separation of Rebel Station from TFL backend infrastructure and assets,terra1karkwrmgj0a2qahu8aejwe9ymkhknvctmqmp6x,937500000000000,937500000.0,0,0.0,,2022-12-15
4,Joint L1 Task Force,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f,908000000000000,908000000.0,0,0.0,,2023-01-02
5,Q2 Joint L1 Task Force Proposal with Amendments,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f,976918731000000,976918731.0,0,0.0,,2023-04-01
6,Running costs and technical support of Rebel Station Infrastructure for three months (v2),terra10w7dmaj6nph8ta6ehwa70pzqw08tjgjle45xxq,305385865000000,305385865.0,0,0.0,,2023-04-01
7,USTC / Stable Algo Quant Team,terra1n78s7qdflvxk4xn00yl9jrpmg8e578zx09r494,222222222000000,222222222.0,0,0.0,,2023-07-03
8,Joint L1 Task Force Q3 Proposal (Correct Version),terra1jzwg8lgqzxymnpz4va7dfumgzkqzrll5v62cq4,1263670817000000,1263670817.0,0,0.0,,2023-07-03
9,Running costs and technical support of Terra Classic Infrastructure for Q3,terra10w7dmaj6nph8ta6ehwa70pzqw08tjgjle45xxq,484366666000000,484366666.0,0,0.0,,2023-07-03
10,USTC / Stable Algo Quant Team - Month 2/2 Round 2,terra1n78s7qdflvxk4xn00yl9jrpmg8e578zx09r494,318217979000000,318217979.0,0,0.0,,2023-09-02
11,Genuine Labs's Community Spend Proposal,terra1skahyp7dzcu5uu2jarresqhnsn99mz6pd7r57d,160000000000000,160000000.0,0,0.0,,2024-01-30
12,Genuine Labs's Community Spend Proposal,terra1skahyp7dzcu5uu2jarresqhnsn99mz6pd7r57d,256410256000000,256410256.0,0,0.0,,2024-06-10
13,LuncGoblin's Spend Proposal,terra14qk5u5yqhz9w3snz5mdl0ve5awgtjrpfy0rsjh,50998725000000,50998725.0,0,0.0,,2024-08-10
14,OrbitLabs' Review of Reverse Charge Tax Mechanism,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y,23864258000000,23864258.0,0,0.0,,2024-12-27
15,BLVLabs Spending Proposal (Improve GOV module proposal #12137),terra16r0fdcyy6whsfx9nxfx5zhhdwte59kaf3jm502,48356000000000,48356000.0,0,0.0,,2025-01-01
16,Spend Proposal for the first phase of OrbitLabs' Removal of Forked Modules from Terra,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y,204603580000000,204603580.0,0,0.0,,2025-02-22
17,Request for funds to compensate additional development work in `v3.4.0` upgrade.,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y,32669062000000,32669062.0,0,0.0,,2025-03-01
18,Compensation for Development & Audit Work for Proposal 121,terra1wun64uuszwc6wn3pmy4w592j0dp0677tfjxxzj,24298425000000,24298425.0,0,0.0,,2025-03-28
19,(Fixed) Request to Inject Liquidity for Terraswap DEX as Outlined by Proposal 12171,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6,756429652042000,756429652.042,0,0.0,,2025-05-21
20,Revisiting Proposal 1217 to Inject Liquidity for Terraport LUNC/USDC,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6,711136395960745,711136395.960745,0,0.0,,2025-05-21
21,Request to Inject Liquidity for Garuda Defi as Outlined by Proposal 12171,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6,792267469497702,792267469.497702,0,0.0,,2025-06-02
22,BLVLabs Spending Proposal (Enabling Wallet Whitelisting #1211),terra16r0fdcyy6whsfx9nxfx5zhhdwte59kaf3jm502,133000000000000,133000000.0,0,0.0,,2025-06-15
23,Spending Proposal for Phase 2 of OrbitLabs' Removal of Forked Modules from Terra,terra1gfdpna8xkxhergv37lkpjq67txergkhz83v2fv,500000000000000,500000000.0,0,0.0,,2025-10-01
24,Fund IBC Relaying Activity,terra1jf47h267hvm9sa456j9jkzgjnaddm3pwglr5tl,254582484725050,254582484.72505,0,0.0,,2025-11-03
25,Spending Proposal: Terra Classic Upgrade to Cosmos SDK v0.53 with IBC v2 (Eureka),terra1dmqa34vl5u4hfnftkwh57dn96hrvx6p8rwe86v,1045997684000000,1045997684.0,0,0.0,,2026-01-29
